id,chr,start,end,bin,arm,gc,map,short,long,short.cor,long.cor,ultrashort,ultrashort.cor,multinucs,multinucs.cor,mediansize,frag.gc,filtered.bases,ratio,ratio.cor
CGPLPA784P1,chr1,5000001,10000000,1,1p,0.482519,0.982374221676362,13822,26185,18026.3617105318,34154.9571431562,226,292.19949946458,629,820.844412136417,158,0.489264842641085,0,0.345489539330617,0.345456230439023
CGPLPA784P1,chr1,15000001,20000000,2,1p,0.4880796,0.961141657767262,13983,26631,18090.4689997152,34485.786763097,212,271.724689931418,699,900.535750498719,158,0.500593618302228,373,0.344290146254986,0.344080588038199
CGPLPA784P1,chr1,20000001,25000000,3,1p,0.4726852,0.978981585353628,13984,26257,18361.6699140814,34562.8845506955,204,264.177543716481,696,916.212268073394,158,0.479751829075618,68,0.347506274694963,0.34694047214515
CGPLPA784P1,chr1,25000001,30000000,4,1p,0.4638612,0.969469351176973,12931,23235,16997.3821475295,30609.0632832617,183,237.953968949439,738,967.764466489617,158,0.47957046943673,184,0.357545761212188,0.35703951416074
CGPLPA784P1,chr1,30000001,35000000,5,1p,0.4659504,0.978487369354674,14223,27577,18741.9302478639,36399.2948836559,210,272.348336899519,581,767.024490677486,158,0.475860862623559,308,0.340263157894737,0.3398896234743
CGPLPA784P1,chr1,35000001,40000000,6,1p,0.4568564,0.978907093122177,13786,26553,18347.2251386034,35370.6894075191,211,275.92033447789,568,757.661892203938,158,0.464436499829758,111,0.34175363791864,0.341547606485177
CGPLPA784P1,chr1,40000001,45000000,7,1p,0.4545124,0.977829035213107,13867,26078,18453.5389452284,34813.4907279314,189,247.500224336519,665,882.871990863632,158,0.461173067967352,754,0.347152334459882,0.34643454043631
CGPLPA784P1,chr1,45000001,50000000,8,1p,0.4367456,0.954996470468469,13452,26019,18157.3722765342,35199.4146700973,213,282.903383275484,500,671.673638631609,158,0.444205156281107,98,0.340807174887892,0.340301080998291
CGPLPA784P1,chr1,50000001,55000000,9,1p,0.4282668,0.97512507308497,13447,25920,18183.2155961821,35145.1332825936,189,253.112320670038,531,716.986501139243,158,0.437200838176965,0,0.341580511596007,0.340967158715445
CGPLPA784P1,chr1,55000001,60000000,10,1p,0.4166452,0.975219751943121,14032,27171,19238.1786412895,37327.1105901935,193,263.711735704859,502,688.745056470673,158,0.425321972409184,63,0.340557726379147,0.340105723892983
