id,chr,start,end,bin,arm,gc,map,short,long,short.cor,long.cor,ultrashort,ultrashort.cor,multinucs,multinucs.cor,mediansize,frag.gc,filtered.bases,ratio,ratio.cor
CGPLPA902P,chr1,5000001,10000000,1,1p,0.482519,0.982374221676362,6781,37721,7685.76889076491,42710.4421265048,58,65.7004318872924,3250,3672.45414615514,168,0.484310604476051,0,0.152375174149476,0.152506879696396
CGPLPA902P,chr1,15000001,20000000,2,1p,0.4880796,0.961141657767262,7080,38479,7985.93085245602,43381.0955662006,56,64.7007024876414,3502,3940.7010201787,168,0.495671763340595,373,0.155402884172172,0.155468038725238
CGPLPA902P,chr1,20000001,25000000,3,1p,0.4726852,0.978981585353628,6939,37906,7853.68050146423,42901.6712201199,52,58.4714201383805,3489,3938.90744768916,168,0.475723349729261,68,0.154732969115843,0.154736007831158
CGPLPA902P,chr1,25000001,30000000,4,1p,0.4638612,0.969469351176973,6669,32950,7545.38268750177,37312.7500528499,51,57.4639032243732,3580,4038.90824998771,167,0.47590774566474,184,0.168328327317701,0.168205456325524
CGPLPA902P,chr1,30000001,35000000,5,1p,0.4659504,0.978487369354674,6901,39737,7804.89512005129,44995.1959292926,52,58.2370904002863,3270,3690.78311621839,168,0.47288710968775,308,0.147969466958274,0.147819728431099
CGPLPA902P,chr1,35000001,40000000,6,1p,0.4568564,0.978907093122177,6567,38401,7456.08981480799,43545.499310717,44,49.4800200282476,3307,3744.89861671125,168,0.460327407438068,111,0.146037181996086,0.146193284222127
CGPLPA902P,chr1,40000001,45000000,7,1p,0.4545124,0.977829035213107,6991,37438,7933.59354614248,42506.8102348962,48,55.366564091343,3488,3943.48872829677,167,0.457875325758366,754,0.157352179882509,0.157286479715391
CGPLPA902P,chr1,45000001,50000000,8,1p,0.4367456,0.954996470468469,6591,38145,7493.18759345372,43419.6160629691,52,59.4569122756609,3147,3567.04456998581,168,0.441395431313237,98,0.147331008583691,0.147176879985246
CGPLPA902P,chr1,50000001,55000000,9,1p,0.4282668,0.97512507308497,6527,37695,7456.50876923734,43113.4870168299,58,65.3407198643457,3186,3632.38924029472,168,0.434117894914254,0,0.147596219076478,0.147449266177153
CGPLPA902P,chr1,55000001,60000000,10,1p,0.4166452,0.975219751943121,6711,40574,7623.9542621678,46221.0347182575,55,61.9470159593086,3216,3655.10810388404,168,0.42285505182372,63,0.141926615205668,0.141590785076387
CGPLPA902P,chr1,60000001,65000000,11,1p,0.399688,0.97236809324608,6577,38680,7505.40282743664,44427.1089374369,41,46.0795560353694,3093,3545.66934404644,168,0.406488189952677,0,0.145325584992377,0.144522238042666
CGPLPA902P,chr1,65000001,70000000,12,1p,0.390125,0.967381664847973,6434,37474,7363.67006018407,43223.7602206012,45,50.5943650939285,3028,3489.77699591788,168,0.397014537791873,735,0.146533661291792,0.145563236150009
CGPLPA902P,chr1,70000001,75000000,13,1p,0.3587176,0.972264005053379,5598,36176,6496.9573755473,42553.4888530168,37,42.1402454105056,2568,3039.24638659641,168,0.369872912864193,0,0.134006798487097,0.132454602864833
CGPLPA902P,chr1,75000001,80000000,14,1p,0.3775974,0.96564769268667,5966,37119,6876.57137310372,43004.9552105692,37,44.3573138236452,2728,3158.10491159509,168,0.386402181025082,134,0.138470465359174,0.137858077811005
CGPLPA902P,chr1,80000001,85000000,15,1p,0.3646858,0.947519129161617,5450,34612,6317.60294015439,40547.0563796644,32,36.2822258225541,2446,2867.05736049608,168,0.37448730606488,215,0.136039139334032,0.134805267590683
CGPLPA902P,chr1,85000001,90000000,16,1p,0.3871608,0.968679244033096,6370,36741,7311.31162219071,42430.7358823618,27,31.120957038252,3061,3528.92148830614,168,0.393845754237105,0,0.147758112778641,0.146984532985329
CGPLPA902P,chr1,90000001,95000000,17,1p,0.399986,0.963605927586828,6221,36927,7128.50491720579,42494.8137367847,44,51.4085076106986,3097,3561.945431304,168,0.406595303419819,437,0.144178177435802,0.143652321339305
CGPLPA902P,chr1,95000001,100000000,18,1p,0.3738138,0.971823213636356,6063,36940,7001.61322070519,42999.5983369036,47,53.0608391483704,2862,3340.45942206872,168,0.383304582679909,0,0.140990163476967,0.140028871353213
CGPLPA902P,chr1,100000001,105000000,19,1p,0.359991,0.936923050045331,5266,32156,6106.972958842,37737.1027840273,35,45.9991883773975,2522,2967.21068985624,168,0.375589184321769,14251,0.140719362941585,0.139288441034938
CGPLPA902P,chr1,105000001,110000000,20,1p,0.3749756,0.950155843505622,5398,33283,6252.9154921489,39055.1692903116,33,38.5770574405148,2657,3105.65932990117,168,0.385169804935825,771,0.139551717897676,0.13800882385939
CGPLPA902P,chr1,110000001,115000000,21,1p,0.4303304,0.968975225485917,6591,37637,7507.42366631426,42932.8932978746,44,49.5993591123083,3306,3749.5811828771,168,0.43610744461726,224,0.149023243194357,0.148837757535194
CGPLPA902P,chr1,115000001,120000000,22,1p,0.4059132,0.963578976035697,6411,38555,7340.51023632545,44269.3868982824,36,40.5681145128841,2963,3390.79622406356,168,0.413394975502971,0,0.142574389538763,0.142230669772119
CGPLPA902P,chr1,150000001,155000000,23,1q,0.4468306,0.967925827865813,6479,34590,7365.71357098863,39369.5942382094,47,53.2619877037154,3326,3772.43621792838,167,0.447899509473021,91,0.157758893569359,0.157604901225
CGPLPA902P,chr1,155000001,160000000,24,1q,0.4393342,0.960319595006356,6606,36127,7538.15444040623,41340.7487672745,53,60.6768842211485,3515,4010.60622916452,168,0.443411157426405,75,0.154587789296328,0.15422102268493
CGPLPA902P,chr1,160000001,165000000,25,1q,0.4136894,0.953816504054605,6405,36889,7303.86297053726,42214.6674600375,49,55.096301842894,3178,3641.12394876309,168,0.417678682745427,0,0.147941978103201,0.147497571253196
CGPLPA902P,chr1,165000001,170000000,26,1q,0.405533,0.971568553074625,6486,38142,7405.74060945275,43659.9795197666,31,36.685383471186,3134,3582.85151874057,168,0.412751030485636,435,0.145334767410594,0.145023718273489
CGPLPA902P,chr1,170000001,175000000,27,1q,0.3872476,0.957507720430439,6134,36136,7045.059219477,41709.4534983932,50,56.5943254346943,3177,3657.37723657987,168,0.393694749104337,161,0.145114738585285,0.144500659051705
CGPLPA902P,chr1,175000001,180000000,28,1q,0.406983,0.969963613340302,6185,39173,7068.80220585984,44857.0605326054,32,36.0632009932015,2960,3373.00408161368,168,0.41460227507756,0,0.136359627849552,0.136132590448487
CGPLPA902P,chr1,180000001,185000000,29,1q,0.4149038,0.975798854698569,6739,38357,7709.29607135428,43872.3258062504,53,60.3850313999681,3204,3656.63289887168,168,0.420944925857754,50,0.149436757140323,0.149458194425279
CGPLPA902P,chr1,185000001,190000000,30,1q,0.3567384,0.96796649919637,5606,34491,6550.41279109058,40781.4242037427,40,45.8399950330882,2593,3091.10859957833,168,0.369194710975895,0,0.139810958425817,0.138393377628796
CGPLPA902P,chr1,190000001,195000000,31,1q,0.3502344,0.977435172484538,5401,33873,6356.0176384994,40369.0630812862,30,38.8270691923542,2631,3188.99570399629,168,0.364247764397282,0,0.137521006263686,0.136030105043948
CGPLPA902P,chr1,195000001,200000000,32,1q,0.3571322,0.966943942652949,5595,34577,6543.17051020681,40877.001436751,33,37.6820632206563,2800,3339.52764162186,168,0.369971631205674,0,0.139276112715324,0.137982850790286
CGPLPA902P,chr1,200000001,205000000,33,1q,0.4613638,0.976426043146045,6961,38644,7896.85936777173,43831.6353215896,49,55.6494391515012,3520,3980.9047898569,168,0.467032984910725,2672,0.152636772283741,0.152659755811449
CGPLPA902P,chr1,205000001,210000000,34,1q,0.4082326,0.94970637914689,6145,35240,6986.30984612352,40046.1607523694,37,41.5844052785348,3135,3558.16669722718,168,0.440711897120542,73,0.148483750151021,0.148542267867752
CGPLPA902P,chr1,210000001,215000000,35,1q,0.4151962,0.972598435935041,6413,38649,7311.97014950988,44201.9279447179,40,45.3689659523904,3017,3433.64508130609,168,0.420805503023754,420,0.142315032621721,0.141941697678072
CGPLPA902P,chr1,215000001,220000000,36,1q,0.3751916,0.978365169088431,5915,37133,6806.60797944258,43060.8835476385,41,46.2108260700647,2582,2995.06492009144,168,0.384128440366972,0,0.137404757480022,0.136493891531443
CGPLPA902P,chr1,220000001,225000000,37,1q,0.4082454,0.942605409184575,6237,36237,7126.80051609568,41478.6622197083,37,41.7286081268714,2901,3318.99820933363,168,0.41732889985026,5110,0.146842774403164,0.146625504932101
CGPLPA902P,chr1,225000001,230000000,38,1q,0.446534,0.964762640865008,6608,36605,7527.38312043825,41855.1909973658,48,54.4615673246711,3420,3894.66946310181,168,0.448077804674279,81,0.152916946289311,0.152429946289989
